customer_id,cohort,acquisition_date,order_date,order_amount
37,2025-07,2025-07-22,2025-07-22,11.98
38,2025-07,2025-07-18,2025-07-18,19.88
38,2025-07,2025-07-18,2025-07-31,23.84
38,2025-07,2025-07-18,2025-08-11,21.22
39,2025-07,2025-07-11,2025-07-11,44.97
40,2025-07,2025-07-15,2025-07-15,19.75
41,2025-07,2025-07-19,2025-07-19,15.71
41,2025-07,2025-07-19,2025-07-26,7.31
41,2025-07,2025-07-19,2025-07-28,4.01
41,2025-07,2025-07-19,2025-07-30,9.29
41,2025-07,2025-07-19,2025-08-02,8.07
41,2025-07,2025-07-19,2025-08-17,5.25
42,2025-07,2025-07-26,2025-07-26,7.16
42,2025-07,2025-07-26,2025-07-31,13.31
42,2025-07,2025-07-26,2025-08-17,4.94
43,2025-07,2025-07-25,2025-07-25,58.07
44,2025-07,2025-07-08,2025-07-08,99.3
45,2025-07,2025-07-03,2025-07-03,63.94
46,2025-07,2025-07-19,2025-07-19,30.48
47,2025-07,2025-07-10,2025-07-10,200.21
47,2025-07,2025-07-10,2025-07-26,64.87
48,2025-07,2025-07-16,2025-07-16,25.93
48,2025-07,2025-07-16,2025-07-26,42.9
48,2025-07,2025-07-16,2025-08-13,36.74
49,2025-07,2025-07-24,2025-07-24,48.62
49,2025-07,2025-07-24,2025-08-02,39.07
49,2025-07,2025-07-24,2025-08-07,63.41
50,2025-07,2025-07-20,2025-07-20,53.09
51,2025-08,2025-08-03,2025-08-03,30.69
51,2025-08,2025-08-03,2025-08-06,59.08
51,2025-08,2025-08-03,2025-08-19,66.47
52,2025-08,2025-08-14,2025-08-14,27.26
53,2025-08,2025-08-06,2025-08-06,31.48
53,2025-08,2025-08-06,2025-08-10,41.2
53,2025-08,2025-08-06,2025-08-16,18.46
53,2025-08,2025-08-06,2025-08-30,48.38
54,2025-08,2025-08-30,2025-08-30,14.15
55,2025-08,2025-08-16,2025-08-16,21.46
55,2025-08,2025-08-16,2025-08-17,16.96
55,2025-08,2025-08-16,2025-08-29,12.84
55,2025-08,2025-08-16,2025-09-06,9.98
56,2025-08,2025-08-03,2025-08-03,44.86
56,2025-08,2025-08-03,2025-09-26,17.52
57,2025-08,2025-08-18,2025-08-18,12.6
57,2025-08,2025-08-18,2025-09-05,15.43
58,2025-08,2025-08-26,2025-08-26,37.85
58,2025-08,2025-08-26,2025-09-23,22.32
59,2025-08,2025-08-27,2025-08-27,22.35
60,2025-08,2025-08-11,2025-08-11,38.67
60,2025-08,2025-08-11,2025-09-20,31.65
60,2025-08,2025-08-11,2025-10-02,32.37
61,2025-08,2025-08-12,2025-08-12,22.26
61,2025-08,2025-08-12,2025-08-27,58.26
61,2025-08,2025-08-12,2025-08-30,35.53
61,2025-08,2025-08-12,2025-08-31,23.17
61,2025-08,2025-08-12,2025-09-06,23.3
62,2025-08,2025-08-15,2025-08-15,60.15
63,2025-08,2025-08-03,2025-08-03,52.33
64,2025-08,2025-08-27,2025-08-27,20.78
65,2025-08,2025-08-03,2025-08-03,22.36
66,2025-08,2025-08-31,2025-08-31,36.74
66,2025-08,2025-08-31,2025-09-08,85.96
67,2025-08,2025-08-16,2025-08-16,12.23
68,2025-08,2025-08-23,2025-08-23,17.4
68,2025-08,2025-08-23,2025-09-13,17.51
69,2025-08,2025-08-03,2025-08-03,18.8
69,2025-08,2025-08-03,2025-09-03,33.74
70,2025-08,2025-08-24,2025-08-24,52.36
70,2025-08,2025-08-24,2025-09-02,44.98
70,2025-08,2025-08-24,2025-09-13,38.21
70,2025-08,2025-08-24,2025-09-15,80.66
70,2025-08,2025-08-24,2025-10-11,41.59
70,2025-08,2025-08-24,2025-11-13,50.88
70,2025-08,2025-08-24,2025-12-18,56.44
70,2025-08,2025-08-24,2025-12-31,80.21
70,2025-08,2025-08-24,2026-01-05,34.14
71,2025-08,2025-08-23,2025-08-23,47.81
72,2025-08,2025-08-13,2025-08-13,18.3
73,2025-08,2025-08-29,2025-08-29,37.87
73,2025-08,2025-08-29,2025-09-19,11.69
74,2025-08,2025-08-12,2025-08-12,22.61
75,2025-08,2025-08-01,2025-08-01,22.31
75,2025-08,2025-08-01,2025-08-06,13.03
75,2025-08,2025-08-01,2025-08-12,15.73
75,2025-08,2025-08-01,2025-08-15,14.79
76,2025-08,2025-08-20,2025-08-20,47.67
77,2025-08,2025-08-04,2025-08-04,8.69
78,2025-08,2025-08-16,2025-08-16,24.88
78,2025-08,2025-08-16,2025-08-17,30.67
79,2025-08,2025-08-07,2025-08-07,23.54
80,2025-08,2025-08-25,2025-08-25,26.78
80,2025-08,2025-08-25,2025-10-03,26.31
81,2025-08,2025-08-05,2025-08-05,37.13
81,2025-08,2025-08-05,2025-08-12,21.36
81,2025-08,2025-08-05,2025-08-17,32.76
81,2025-08,2025-08-05,2025-08-17,25.16
81,2025-08,2025-08-05,2025-08-28,19.18
82,2025-08,2025-08-30,2025-08-30,26.31
82,2025-08,2025-08-30,2025-09-26,60.62
83,2025-08,2025-08-16,2025-08-16,15.24
83,2025-08,2025-08-16,2025-09-17,22.14
84,2025-08,2025-08-06,2025-08-06,33.57
84,2025-08,2025-08-06,2025-08-18,37.38
84,2025-08,2025-08-06,2025-08-20,29.2
85,2025-08,2025-08-18,2025-08-18,18.45
85,2025-08,2025-08-18,2025-08-26,11.72
86,2025-08,2025-08-29,2025-08-29,28.65
86,2025-08,2025-08-29,2025-09-02,40.3
87,2025-08,2025-08-27,2025-08-27,36.5
87,2025-08,2025-08-27,2025-09-09,128.86
87,2025-08,2025-08-27,2025-09-13,112.39
87,2025-08,2025-08-27,2025-09-23,134.88
88,2025-08,2025-08-09,2025-08-09,47.65
89,2025-08,2025-08-23,2025-08-23,30.0
90,2025-08,2025-08-14,2025-08-14,43.02
90,2025-08,2025-08-14,2025-08-25,39.95
90,2025-08,2025-08-14,2025-09-04,55.11
91,2025-08,2025-08-29,2025-08-29,7.56
91,2025-08,2025-08-29,2025-10-05,16.53
91,2025-08,2025-08-29,2025-10-10,34.17
92,2025-08,2025-08-05,2025-08-05,18.79
93,2025-08,2025-08-03,2025-08-03,3.49
93,2025-08,2025-08-03,2025-08-08,16.11
94,2025-08,2025-08-05,2025-08-05,129.32
95,2025-08,2025-08-08,2025-08-08,9.69
95,2025-08,2025-08-08,2025-08-15,15.16
95,2025-08,2025-08-08,2025-08-29,27.58
96,2025-08,2025-08-01,2025-08-01,10.32
97,2025-08,2025-08-16,2025-08-16,28.41
98,2025-08,2025-08-27,2025-08-27,12.56
98,2025-08,2025-08-27,2025-09-01,5.71
98,2025-08,2025-08-27,2025-09-14,7.48
99,2025-08,2025-08-09,2025-08-09,9.88
99,2025-08,2025-08-09,2025-08-09,26.56
99,2025-08,2025-08-09,2025-08-13,35.85
99,2025-08,2025-08-09,2025-08-18,54.49
99,2025-08,2025-08-09,2025-08-22,24.23
99,2025-08,2025-08-09,2025-08-26,11.31
100,2025-08,2025-08-12,2025-08-12,15.04
100,2025-08,2025-08-12,2025-08-31,22.56
101,2025-09,2025-09-19,2025-09-19,64.61
101,2025-09,2025-09-19,2025-09-23,139.72
101,2025-09,2025-09-19,2025-09-29,147.29
101,2025-09,2025-09-19,2025-10-11,131.88
101,2025-09,2025-09-19,2025-10-16,97.13
102,2025-09,2025-09-17,2025-09-17,19.96
103,2025-09,2025-09-20,2025-09-20,11.64
104,2025-09,2025-09-21,2025-09-21,9.95
104,2025-09,2025-09-21,2025-09-22,8.16
104,2025-09,2025-09-21,2025-10-05,15.08
104,2025-09,2025-09-21,2025-10-12,15.81
104,2025-09,2025-09-21,2025-10-14,12.73
104,2025-09,2025-09-21,2025-10-19,8.83
105,2025-09,2025-09-28,2025-09-28,73.67
105,2025-09,2025-09-28,2025-10-19,83.14
105,2025-09,2025-09-28,2025-10-22,148.26
105,2025-09,2025-09-28,2025-10-25,52.07
105,2025-09,2025-09-28,2025-11-22,74.77
105,2025-09,2025-09-28,2026-01-08,64.12
105,2025-09,2025-09-28,2026-01-13,20.18
105,2025-09,2025-09-28,2026-02-07,53.97
105,2025-09,2025-09-28,2026-02-07,25.01
105,2025-09,2025-09-28,2026-02-07,60.78
106,2025-09,2025-09-04,2025-09-04,20.04
107,2025-09,2025-09-16,2025-09-16,23.15
107,2025-09,2025-09-16,2025-10-06,20.46
108,2025-09,2025-09-13,2025-09-13,46.47
108,2025-09,2025-09-13,2025-09-14,15.09
108,2025-09,2025-09-13,2025-10-15,18.04
108,2025-09,2025-09-13,2025-10-19,21.26
109,2025-09,2025-09-07,2025-09-07,43.61
110,2025-09,2025-09-15,2025-09-15,23.98
110,2025-09,2025-09-15,2025-09-20,59.92
111,2025-09,2025-09-04,2025-09-04,7.24
111,2025-09,2025-09-04,2025-09-14,12.48
111,2025-09,2025-09-04,2025-10-23,7.45
112,2025-09,2025-09-02,2025-09-02,31.35
113,2025-09,2025-09-04,2025-09-04,63.8
113,2025-09,2025-09-04,2025-09-04,53.47
114,2025-09,2025-09-19,2025-09-19,62.79
114,2025-09,2025-09-19,2025-11-22,32.68
115,2025-09,2025-09-18,2025-09-18,33.7
116,2025-09,2025-09-04,2025-09-04,11.44
116,2025-09,2025-09-04,2025-09-15,38.05
116,2025-09,2025-09-04,2025-10-23,14.59
117,2025-09,2025-09-01,2025-09-01,85.85
117,2025-09,2025-09-01,2025-09-03,90.58
118,2025-09,2025-09-28,2025-09-28,22.0
118,2025-09,2025-09-28,2025-10-04,7.02
119,2025-09,2025-09-20,2025-09-20,34.77
120,2025-09,2025-09-13,2025-09-13,39.88
120,2025-09,2025-09-13,2025-09-17,22.53
120,2025-09,2025-09-13,2025-10-03,11.82
120,2025-09,2025-09-13,2025-10-21,30.33
120,2025-09,2025-09-13,2025-10-24,42.28
120,2025-09,2025-09-13,2025-11-23,47.76
120,2025-09,2025-09-13,2025-12-01,26.79
121,2025-09,2025-09-16,2025-09-16,113.06
122,2025-09,2025-09-04,2025-09-04,30.05
122,2025-09,2025-09-04,2025-09-07,36.6
123,2025-09,2025-09-28,2025-09-28,54.19
123,2025-09,2025-09-28,2025-10-13,33.91
123,2025-09,2025-09-28,2025-11-11,15.52
124,2025-09,2025-09-16,2025-09-16,125.92
125,2025-09,2025-09-16,2025-09-16,32.29
125,2025-09,2025-09-16,2025-09-18,31.3
125,2025-09,2025-09-16,2025-09-20,74.25
125,2025-09,2025-09-16,2025-09-25,40.47
126,2025-09,2025-09-04,2025-09-04,64.2
126,2025-09,2025-09-04,2025-09-14,29.77
126,2025-09,2025-09-04,2025-09-27,52.03
127,2025-09,2025-09-24,2025-09-24,46.96
128,2025-09,2025-09-09,2025-09-09,53.56
129,2025-09,2025-09-16,2025-09-16,9.27
130,2025-09,2025-09-27,2025-09-27,30.26
131,2025-09,2025-09-23,2025-09-23,130.25
132,2025-09,2025-09-06,2025-09-06,52.62
133,2025-09,2025-09-17,2025-09-17,92.7
133,2025-09,2025-09-17,2025-09-17,77.78
133,2025-09,2025-09-17,2025-10-23,41.96
133,2025-09,2025-09-17,2025-12-02,55.45
134,2025-09,2025-09-12,2025-09-12,6.67
135,2025-09,2025-09-05,2025-09-05,32.35
135,2025-09,2025-09-05,2025-09-27,28.29
136,2025-09,2025-09-18,2025-09-18,28.59
136,2025-09,2025-09-18,2025-09-18,42.27
136,2025-09,2025-09-18,2025-10-17,43.25
137,2025-09,2025-09-25,2025-09-25,67.26
138,2025-09,2025-09-17,2025-09-17,59.19
139,2025-09,2025-09-10,2025-09-10,29.8
140,2025-09,2025-09-21,2025-09-21,9.89
140,2025-09,2025-09-21,2025-10-18,17.82
141,2025-09,2025-09-03,2025-09-03,45.58
142,2025-09,2025-09-23,2025-09-23,16.4
142,2025-09,2025-09-23,2025-10-20,16.9
143,2025-09,2025-09-09,2025-09-09,71.54
143,2025-09,2025-09-09,2025-09-20,72.21
143,2025-09,2025-09-09,2025-09-25,74.59
144,2025-09,2025-09-30,2025-09-30,11.56
145,2025-09,2025-09-06,2025-09-06,26.73
145,2025-09,2025-09-06,2025-10-13,14.81
145,2025-09,2025-09-06,2025-10-17,42.64
145,2025-09,2025-09-06,2025-10-30,31.92
146,2025-09,2025-09-18,2025-09-18,47.88
146,2025-09,2025-09-18,2025-10-05,26.52
146,2025-09,2025-09-18,2025-10-12,10.05
147,2025-09,2025-09-17,2025-09-17,7.27
147,2025-09,2025-09-17,2025-09-27,55.48
148,2025-09,2025-09-21,2025-09-21,10.69
148,2025-09,2025-09-21,2025-09-28,13.31
148,2025-09,2025-09-21,2025-10-10,46.13
148,2025-09,2025-09-21,2025-11-15,13.97
149,2025-09,2025-09-26,2025-09-26,39.03
149,2025-09,2025-09-26,2025-10-20,48.94
150,2025-09,2025-09-28,2025-09-28,34.32
150,2025-09,2025-09-28,2025-10-04,62.05
151,2025-10,2025-10-26,2025-10-26,27.36
152,2025-10,2025-10-08,2025-10-08,18.25
152,2025-10,2025-10-08,2025-11-03,16.8
152,2025-10,2025-10-08,2025-11-19,21.75
153,2025-10,2025-10-24,2025-10-24,3.11
153,2025-10,2025-10-24,2025-11-18,6.84
153,2025-10,2025-10-24,2025-11-29,6.24
153,2025-10,2025-10-24,2025-11-30,4.27
154,2025-10,2025-10-17,2025-10-17,67.11
154,2025-10,2025-10-17,2025-10-28,33.79
154,2025-10,2025-10-17,2025-11-01,12.66
154,2025-10,2025-10-17,2025-11-09,31.81
155,2025-10,2025-10-01,2025-10-01,48.53
155,2025-10,2025-10-01,2025-10-31,53.62
156,2025-10,2025-10-26,2025-10-26,33.41
156,2025-10,2025-10-26,2025-11-03,26.01
156,2025-10,2025-10-26,2025-11-10,24.95
157,2025-10,2025-10-09,2025-10-09,20.11
157,2025-10,2025-10-09,2025-10-15,35.92
158,2025-10,2025-10-23,2025-10-23,11.15
158,2025-10,2025-10-23,2025-11-03,20.88
158,2025-10,2025-10-23,2025-11-06,12.95
158,2025-10,2025-10-23,2025-11-11,17.42
159,2025-10,2025-10-26,2025-10-26,5.77
160,2025-10,2025-10-30,2025-10-30,15.4
161,2025-10,2025-10-24,2025-10-24,52.46
161,2025-10,2025-10-24,2025-11-04,55.58
161,2025-10,2025-10-24,2025-12-04,79.63
162,2025-10,2025-10-03,2025-10-03,37.62
162,2025-10,2025-10-03,2025-10-10,23.23
162,2025-10,2025-10-03,2025-11-05,38.11
163,2025-10,2025-10-08,2025-10-08,40.85
164,2025-10,2025-10-16,2025-10-16,113.11
164,2025-10,2025-10-16,2025-11-21,14.49
164,2025-10,2025-10-16,2025-11-21,44.06
164,2025-10,2025-10-16,2025-11-25,15.61
164,2025-10,2025-10-16,2025-11-30,85.58
164,2025-10,2025-10-16,2025-12-04,131.49
164,2025-10,2025-10-16,2025-12-13,47.6
164,2025-10,2025-10-16,2026-01-03,65.7
164,2025-10,2025-10-16,2026-01-10,71.02
164,2025-10,2025-10-16,2026-01-14,19.73
165,2025-10,2025-10-16,2025-10-16,24.49
165,2025-10,2025-10-16,2026-02-12,31.67
165,2025-10,2025-10-16,2026-03-05,15.54
166,2025-10,2025-10-12,2025-10-12,18.08
167,2025-10,2025-10-26,2025-10-26,55.34
167,2025-10,2025-10-26,2025-10-28,35.53
167,2025-10,2025-10-26,2025-11-15,25.18
167,2025-10,2025-10-26,2025-11-16,57.1
167,2025-10,2025-10-26,2025-11-21,18.18
167,2025-10,2025-10-26,2025-11-28,33.31
167,2025-10,2025-10-26,2025-12-24,44.09
168,2025-10,2025-10-13,2025-10-13,67.63
169,2025-10,2025-10-26,2025-10-26,39.98
169,2025-10,2025-10-26,2025-11-01,52.24
169,2025-10,2025-10-26,2025-11-17,14.89
169,2025-10,2025-10-26,2025-11-19,40.39
169,2025-10,2025-10-26,2025-12-10,43.28
170,2025-10,2025-10-29,2025-10-29,52.91
170,2025-10,2025-10-29,2025-11-03,45.46
170,2025-10,2025-10-29,2025-11-11,79.84
170,2025-10,2025-10-29,2025-11-23,52.8
171,2025-10,2025-10-21,2025-10-21,12.69
171,2025-10,2025-10-21,2025-10-23,29.65
171,2025-10,2025-10-21,2025-10-31,33.08
171,2025-10,2025-10-21,2025-11-13,16.98
171,2025-10,2025-10-21,2025-11-15,31.91
172,2025-10,2025-10-13,2025-10-13,27.91
172,2025-10,2025-10-13,2025-10-27,23.95
173,2025-10,2025-10-13,2025-10-13,15.84
173,2025-10,2025-10-13,2025-10-15,24.77
173,2025-10,2025-10-13,2025-10-18,43.57
173,2025-10,2025-10-13,2025-11-05,44.96
173,2025-10,2025-10-13,2025-11-05,26.33
174,2025-10,2025-10-06,2025-10-06,12.53
175,2025-10,2025-10-05,2025-10-05,21.9
175,2025-10,2025-10-05,2025-10-05,45.21
176,2025-10,2025-10-05,2025-10-05,41.57
177,2025-10,2025-10-19,2025-10-19,12.18
178,2025-10,2025-10-29,2025-10-29,67.52
178,2025-10,2025-10-29,2025-11-12,113.4
178,2025-10,2025-10-29,2025-11-18,38.95
178,2025-10,2025-10-29,2025-11-23,89.84
179,2025-10,2025-10-05,2025-10-05,17.97
180,2025-10,2025-10-20,2025-10-20,6.92
180,2025-10,2025-10-20,2025-11-08,7.94
180,2025-10,2025-10-20,2025-11-15,7.25
181,2025-10,2025-10-16,2025-10-16,20.05
181,2025-10,2025-10-16,2025-10-20,33.55
181,2025-10,2025-10-16,2025-10-27,32.57
181,2025-10,2025-10-16,2025-11-06,20.64
181,2025-10,2025-10-16,2025-11-14,10.63
182,2025-10,2025-10-18,2025-10-18,97.82
182,2025-10,2025-10-18,2025-11-04,50.71
182,2025-10,2025-10-18,2025-12-17,30.75
182,2025-10,2025-10-18,2025-12-21,14.59
183,2025-10,2025-10-01,2025-10-01,59.21
184,2025-10,2025-10-26,2025-10-26,15.22
185,2025-10,2025-10-24,2025-10-24,60.1
185,2025-10,2025-10-24,2025-11-13,72.82
186,2025-10,2025-10-04,2025-10-04,60.75
186,2025-10,2025-10-04,2025-11-19,88.91
187,2025-10,2025-10-24,2025-10-24,28.05
187,2025-10,2025-10-24,2025-10-28,75.43
187,2025-10,2025-10-24,2025-11-06,38.08
187,2025-10,2025-10-24,2025-11-22,35.3
187,2025-10,2025-10-24,2025-11-29,34.04
187,2025-10,2025-10-24,2025-12-20,61.83
188,2025-10,2025-10-27,2025-10-27,38.35
188,2025-10,2025-10-27,2025-11-23,26.91
188,2025-10,2025-10-27,2025-12-02,47.17
189,2025-10,2025-10-01,2025-10-01,26.0
189,2025-10,2025-10-01,2025-10-09,55.95
189,2025-10,2025-10-01,2025-11-06,64.71
189,2025-10,2025-10-01,2025-11-09,74.34
189,2025-10,2025-10-01,2025-11-16,66.83
189,2025-10,2025-10-01,2025-12-07,49.49
189,2025-10,2025-10-01,2025-12-24,95.52
190,2025-10,2025-10-19,2025-10-19,29.78
190,2025-10,2025-10-19,2025-10-27,21.05
190,2025-10,2025-10-19,2025-10-29,27.24
190,2025-10,2025-10-19,2025-12-05,55.81
190,2025-10,2025-10-19,2025-12-31,14.16
190,2025-10,2025-10-19,2026-01-21,20.15
190,2025-10,2025-10-19,2026-02-12,28.89
190,2025-10,2025-10-19,2026-02-17,31.48
190,2025-10,2025-10-19,2026-03-17,29.67
190,2025-10,2025-10-19,2026-03-29,8.17
190,2025-10,2025-10-19,2026-04-10,35.38
190,2025-10,2025-10-19,2026-04-15,14.28
190,2025-10,2025-10-19,2026-05-01,24.39
190,2025-10,2025-10-19,2026-05-08,36.95
191,2025-10,2025-10-19,2025-10-19,216.25
191,2025-10,2025-10-19,2025-11-14,81.13
191,2025-10,2025-10-19,2025-11-16,11.67
191,2025-10,2025-10-19,2025-12-04,70.52
191,2025-10,2025-10-19,2025-12-31,31.7
191,2025-10,2025-10-19,2026-02-12,57.74
192,2025-10,2025-10-30,2025-10-30,43.41
192,2025-10,2025-10-30,2025-12-15,30.47
192,2025-10,2025-10-30,2025-12-27,47.62
193,2025-10,2025-10-05,2025-10-05,15.62
194,2025-10,2025-10-18,2025-10-18,16.82
195,2025-10,2025-10-05,2025-10-05,20.03
195,2025-10,2025-10-05,2025-10-21,58.51
195,2025-10,2025-10-05,2025-10-21,80.83
196,2025-10,2025-10-01,2025-10-01,12.7
196,2025-10,2025-10-01,2025-11-14,18.14
196,2025-10,2025-10-01,2025-11-24,23.51
196,2025-10,2025-10-01,2025-11-27,16.19
197,2025-10,2025-10-06,2025-10-06,65.28
198,2025-10,2025-10-20,2025-10-20,29.54
198,2025-10,2025-10-20,2025-10-20,8.95
199,2025-10,2025-10-25,2025-10-25,43.41
199,2025-10,2025-10-25,2025-11-19,47.0
200,2025-10,2025-10-05,2025-10-05,19.41
201,2025-11,2025-11-06,2025-11-06,42.69
202,2025-11,2025-11-05,2025-11-05,30.22
203,2025-11,2025-11-16,2025-11-16,53.85
203,2025-11,2025-11-16,2025-12-05,46.19
204,2025-11,2025-11-24,2025-11-24,22.62
204,2025-11,2025-11-24,2025-11-27,16.0
205,2025-11,2025-11-18,2025-11-18,13.14
205,2025-11,2025-11-18,2025-11-19,15.83
205,2025-11,2025-11-18,2025-11-28,25.54
206,2025-11,2025-11-22,2025-11-22,12.3
207,2025-11,2025-11-17,2025-11-17,27.81
208,2025-11,2025-11-17,2025-11-17,19.44
209,2025-11,2025-11-18,2025-11-18,21.75
210,2025-11,2025-11-16,2025-11-16,121.67
210,2025-11,2025-11-16,2026-01-09,131.36
210,2025-11,2025-11-16,2026-01-10,187.67
211,2025-11,2025-11-04,2025-11-04,29.35
211,2025-11,2025-11-04,2025-11-05,19.72
211,2025-11,2025-11-04,2025-11-21,22.98
211,2025-11,2025-11-04,2025-12-02,34.61
211,2025-11,2025-11-04,2025-12-10,32.36
211,2025-11,2025-11-04,2025-12-11,20.58
212,2025-11,2025-11-09,2025-11-09,8.2
213,2025-11,2025-11-02,2025-11-02,48.63
213,2025-11,2025-11-02,2025-11-05,30.68
213,2025-11,2025-11-02,2025-11-26,25.3
213,2025-11,2025-11-02,2025-12-16,42.52
213,2025-11,2025-11-02,2025-12-18,98.19
214,2025-11,2025-11-18,2025-11-18,35.1
215,2025-11,2025-11-01,2025-11-01,20.24
215,2025-11,2025-11-01,2025-12-25,24.16
216,2025-11,2025-11-29,2025-11-29,31.18
217,2025-11,2025-11-30,2025-11-30,67.99
217,2025-11,2025-11-30,2025-12-02,104.35
218,2025-11,2025-11-15,2025-11-15,17.2
218,2025-11,2025-11-15,2025-11-25,20.57
219,2025-11,2025-11-20,2025-11-20,87.32
219,2025-11,2025-11-20,2025-12-06,36.57
219,2025-11,2025-11-20,2025-12-09,27.52
220,2025-11,2025-11-17,2025-11-17,15.66
221,2025-11,2025-11-07,2025-11-07,27.85
222,2025-11,2025-11-23,2025-11-23,26.61
222,2025-11,2025-11-23,2025-12-01,44.74
222,2025-11,2025-11-23,2025-12-07,34.57
222,2025-11,2025-11-23,2026-01-08,24.16
222,2025-11,2025-11-23,2026-01-09,19.7
222,2025-11,2025-11-23,2026-01-17,27.94
223,2025-11,2025-11-16,2025-11-16,67.76
223,2025-11,2025-11-16,2025-12-02,71.88
224,2025-11,2025-11-08,2025-11-08,45.66
224,2025-11,2025-11-08,2025-11-30,53.26
225,2025-11,2025-11-17,2025-11-17,24.54
225,2025-11,2025-11-17,2025-12-15,29.14
225,2025-11,2025-11-17,2025-12-15,20.09
226,2025-11,2025-11-30,2025-11-30,24.74
227,2025-11,2025-11-09,2025-11-09,30.84
227,2025-11,2025-11-09,2026-01-07,17.19
228,2025-11,2025-11-18,2025-11-18,27.75
229,2025-11,2025-11-29,2025-11-29,28.6
229,2025-11,2025-11-29,2025-12-05,89.09
229,2025-11,2025-11-29,2025-12-25,84.76
229,2025-11,2025-11-29,2026-01-12,82.49
230,2025-11,2025-11-05,2025-11-05,29.43
230,2025-11,2025-11-05,2025-12-18,73.77
231,2025-11,2025-11-04,2025-11-04,64.56
232,2025-11,2025-11-13,2025-11-13,26.46
233,2025-11,2025-11-15,2025-11-15,44.43
233,2025-11,2025-11-15,2025-12-17,25.95
233,2025-11,2025-11-15,2025-12-25,25.6
234,2025-11,2025-11-22,2025-11-22,25.81
235,2025-11,2025-11-08,2025-11-08,12.75
236,2025-11,2025-11-14,2025-11-14,4.6
237,2025-11,2025-11-03,2025-11-03,59.88
237,2025-11,2025-11-03,2025-11-09,58.1
238,2025-11,2025-11-22,2025-11-22,21.13
238,2025-11,2025-11-22,2025-12-01,18.19
